attitude,planning,parents,goodval,getto,age,educ,income,cnty
7,6,7,6,6,4,4,5,Cook
5,4,4,2,2,9,6,7,Cook
4,5,5,5,5,9,3,5,DuPage
6,6,7,2,3,12,7,4,Cook
5,4,4,5,5,10,5,3,Cook
6,7,4,6,6,11,5,4,Chicago
5,7,4,3,5,5,5,6,Cook
6,7,7,3,5,5,3,3,Cook
7,4,7,3,4,1,3,10,Cook
5,6,4,2,5,12,5,5,Cook
7,6,7,7,7,11,5,6,Cook
5,5,4,3,5,12,3,2,Other
6,6,7,3,1,3,5,7,DuPage
5,2,2,4,4,10,3,1,Other
6,7,6,4,2,4,8,3,Cook
5,5,6,1,3,3,4,2,Cook
5,4,6,5,6,5,5,9,Cook
4,4,4,4,4,5,5,5,Cook
7,4,7,3,2,6,8,7,Cook
4,5,4,4,6,8,5,1,Cook
4,7,4,1,5,4,5,9,Other
4,4,4,4,4,7,5,3,Other
5,7,4,4,7,12,3,1,Cook
6,6,6,5,6,6,5,5,Other
5,6,4,5,5,3,8,7,Cook
7,7,7,3,6,5,8,8,DuPage
7,2,7,7,7,6,5,9,Cook
7,7,7,2,7,4,5,5,Cook
5,7,2,1,6,6,6,6,Cook
5,5,4,4,6,4,5,4,Cook
6,6,6,3,2,5,3,7,DuPage
4,4,4,4,4,2,4,1,Chicago
5,4,5,2,4,7,8,3,Cook
5,2,3,2,2,5,2,1,Other
5,3,4,2,2,6,5,1,Cook
6,6,4,2,3,4,3,7,DuPage
5,6,5,6,5,2,5,4,Cook
7,7,7,4,2,5,6,6,Lake
4,7,1,2,3,4,6,8,Cook
7,7,4,3,1,7,8,4,Other
4,6,4,3,3,6,4,3,Cook
4,3,4,2,3,6,5,3,Other
4,4,4,4,4,4,3,5,DuPage
6,6,6,4,4,8,4,7,Cook
7,7,7,4,7,8,3,2,Cook
7,7,6,6,4,12,7,9,Cook
4,4,4,4,4,5,4,2,Other
6,7,5,2,2,5,8,10,Other
7,7,1,7,7,NA,NA,1,Cook
7,6,7,7,6,12,7,4,DuPage
6,6,6,3,3,5,6,4,Cook
7,4,7,4,4,7,5,2,Lake
6,6,6,3,2,5,5,4,Other
4,3,3,3,3,12,1,2,Cook
5,6,4,4,6,8,5,4,Other
7,7,2,7,6,10,6,6,Other
4,7,4,4,4,5,3,2,Lake
6,6,6,2,2,11,5,3,Cook
7,7,7,1,6,5,4,9,Cook
6,7,4,7,1,6,6,4,Cook
6,4,5,4,6,5,8,3,Chicago
5,6,4,2,1,12,3,3,Cook
5,7,6,2,4,4,6,6,Cook
6,3,6,2,5,7,6,2,Lake
4,7,4,4,1,6,4,8,Other
1,1,1,1,1,4,3,3,Cook
6,7,4,3,1,8,3,4,Other
6,6,6,2,2,7,7,10,Other
4,6,3,3,2,3,2,2,Other
6,5,5,3,6,3,7,3,Lake
6,6,6,2,2,4,6,6,Cook
4,2,1,4,3,11,3,2,Other
6,7,4,4,4,7,3,8,Cook
6,6,6,6,4,4,6,7,Cook
5,7,7,4,1,4,5,2,Other
6,6,4,6,5,10,8,6,Cook
5,5,5,4,4,4,5,6,DuPage
6,2,2,2,2,6,5,6,Cook
5,6,7,3,1,3,4,1,Other
7,7,3,6,7,5,6,3,Other
6,7,7,1,5,6,6,8,DuPage
6,6,6,2,2,6,5,4,Lake
4,6,4,3,4,6,3,2,Other
6,4,5,3,5,2,5,5,Other
5,6,3,3,5,7,7,8,Cook
6,7,7,2,2,12,8,9,Cook
6,6,4,6,6,4,6,5,Cook
6,7,6,3,6,2,5,6,Other
6,7,6,6,5,5,3,7,Cook
4,3,5,5,5,2,5,1,Cook
6,6,4,3,6,7,6,6,DuPage
5,7,4,1,3,12,5,3,Cook
5,4,4,4,4,4,8,3,Other
4,4,4,4,4,3,3,2,Cook
6,5,6,6,7,3,4,5,Other
5,5,4,5,3,5,3,4,Other
6,6,4,1,6,4,5,3,Other
7,7,3,5,3,6,5,5,Other
4,1,1,1,1,12,3,2,Other
5,5,5,2,2,3,3,5,Cook
7,5,7,3,3,10,4,5,Cook
5,6,5,4,5,6,7,6,Other
6,7,1,1,2,9,5,2,DuPage
5,5,1,1,5,6,3,3,Cook
6,3,6,4,6,3,8,5,Chicago
5,5,4,5,5,4,6,12,Cook
6,5,4,3,5,4,3,1,Other
4,4,4,4,5,11,7,10,Other
6,6,7,2,2,4,6,10,Cook
6,6,5,2,2,8,8,3,DuPage
6,6,6,3,5,6,5,2,DuPage
6,6,4,2,4,8,5,7,DuPage
4,4,4,4,4,12,3,2,Other
4,4,4,4,4,7,2,5,Cook
4,4,4,4,4,7,7,5,Cook
4,6,6,6,6,5,3,1,Cook
7,5,7,6,3,12,2,3,Other
4,4,4,4,4,10,3,2,Other
6,7,6,2,7,3,7,3,Chicago
4,5,4,4,3,6,3,8,Other
4,4,4,4,4,3,5,3,Other
5,6,4,2,5,4,6,4,Cook
4,7,1,7,1,7,6,6,Other
6,5,6,4,4,4,7,8,DuPage
4,7,4,4,7,3,5,4,Other
4,4,5,4,4,5,3,6,Other
6,7,4,4,4,5,3,1,Cook
6,6,6,3,2,2,7,11,Lake
2,2,4,4,7,5,3,3,Other
7,3,7,7,7,2,5,1,DuPage
5,6,6,3,4,6,6,9,Lake
7,7,4,2,3,6,8,6,Other
7,5,7,2,4,9,3,3,Cook
