id,subscription,year,defect
419,high,3,0
419,high,4,0
419,high,5,1
420,high,1,0
420,high,2,0
420,high,3,0
420,high,4,0
420,high,5,1
421,high,1,0
421,high,2,0
421,high,3,0
421,high,4,0
421,high,5,1
422,high,1,0
422,high,2,0
422,high,3,0
422,high,4,0
422,high,5,1
423,high,1,0
423,high,2,0
423,high,3,0
423,high,4,0
423,high,5,1
424,high,1,0
424,high,2,0
424,high,3,0
424,high,4,0
424,high,5,1
425,high,1,0
425,high,2,0
425,high,3,0
425,high,4,0
425,high,5,1
426,high,1,0
426,high,2,0
426,high,3,0
426,high,4,0
426,high,5,1
427,high,1,0
427,high,2,0
427,high,3,0
427,high,4,0
427,high,5,1
428,high,1,0
428,high,2,0
428,high,3,0
428,high,4,0
428,high,5,1
429,high,1,0
429,high,2,0
429,high,3,0
429,high,4,0
429,high,5,1
430,high,1,0
430,high,2,0
430,high,3,0
430,high,4,0
430,high,5,1
431,high,1,0
431,high,2,0
431,high,3,0
431,high,4,0
431,high,5,1
432,high,1,0
432,high,2,0
432,high,3,0
432,high,4,0
432,high,5,1
433,high,1,0
433,high,2,0
433,high,3,0
433,high,4,0
433,high,5,1
434,high,1,0
434,high,2,0
434,high,3,0
434,high,4,0
434,high,5,1
435,high,1,0
435,high,2,0
435,high,3,0
435,high,4,0
435,high,5,1
436,high,1,0
436,high,2,0
436,high,3,0
436,high,4,0
436,high,5,1
437,high,1,0
437,high,2,0
437,high,3,0
437,high,4,0
437,high,5,1
438,high,1,0
438,high,2,0
438,high,3,0
438,high,4,0
438,high,5,1
439,high,1,0
439,high,2,0
439,high,3,0
439,high,4,0
439,high,5,1
440,high,1,0
440,high,2,0
440,high,3,0
440,high,4,0
440,high,5,1
441,high,1,0
441,high,2,0
441,high,3,0
441,high,4,0
441,high,5,1
442,high,1,0
442,high,2,0
442,high,3,0
442,high,4,0
442,high,5,1
443,high,1,0
443,high,2,0
443,high,3,0
443,high,4,0
443,high,5,1
444,high,1,0
444,high,2,0
444,high,3,0
444,high,4,0
444,high,5,1
445,high,1,0
445,high,2,0
445,high,3,0
445,high,4,0
445,high,5,1
446,high,1,0
446,high,2,0
446,high,3,0
446,high,4,0
446,high,5,1
447,high,1,0
447,high,2,0
447,high,3,0
447,high,4,0
447,high,5,1
448,high,1,0
448,high,2,0
448,high,3,0
448,high,4,0
448,high,5,1
449,high,1,0
449,high,2,0
449,high,3,0
449,high,4,0
449,high,5,1
450,high,1,0
450,high,2,0
450,high,3,0
450,high,4,0
450,high,5,0
450,high,6,1
451,high,1,0
451,high,2,0
451,high,3,0
451,high,4,0
451,high,5,0
451,high,6,1
452,high,1,0
452,high,2,0
452,high,3,0
452,high,4,0
452,high,5,0
452,high,6,1
453,high,1,0
453,high,2,0
453,high,3,0
453,high,4,0
453,high,5,0
453,high,6,1
454,high,1,0
454,high,2,0
454,high,3,0
454,high,4,0
454,high,5,0
454,high,6,1
455,high,1,0
455,high,2,0
455,high,3,0
455,high,4,0
455,high,5,0
455,high,6,1
456,high,1,0
456,high,2,0
456,high,3,0
456,high,4,0
456,high,5,0
456,high,6,1
457,high,1,0
457,high,2,0
457,high,3,0
457,high,4,0
457,high,5,0
457,high,6,1
458,high,1,0
458,high,2,0
458,high,3,0
458,high,4,0
458,high,5,0
458,high,6,1
459,high,1,0
459,high,2,0
459,high,3,0
459,high,4,0
459,high,5,0
459,high,6,1
460,high,1,0
460,high,2,0
460,high,3,0
460,high,4,0
460,high,5,0
460,high,6,1
461,high,1,0
461,high,2,0
461,high,3,0
461,high,4,0
461,high,5,0
461,high,6,1
462,high,1,0
462,high,2,0
462,high,3,0
462,high,4,0
462,high,5,0
462,high,6,1
463,high,1,0
463,high,2,0
463,high,3,0
463,high,4,0
463,high,5,0
463,high,6,1
464,high,1,0
464,high,2,0
464,high,3,0
464,high,4,0
464,high,5,0
464,high,6,1
465,high,1,0
465,high,2,0
465,high,3,0
465,high,4,0
465,high,5,0
465,high,6,1
466,high,1,0
466,high,2,0
466,high,3,0
466,high,4,0
466,high,5,0
466,high,6,1
467,high,1,0
467,high,2,0
467,high,3,0
467,high,4,0
467,high,5,0
467,high,6,1
468,high,1,0
468,high,2,0
468,high,3,0
468,high,4,0
468,high,5,0
468,high,6,1
469,high,1,0
469,high,2,0
469,high,3,0
469,high,4,0
469,high,5,0
469,high,6,1
470,high,1,0
470,high,2,0
470,high,3,0
470,high,4,0
470,high,5,0
470,high,6,1
471,high,1,0
471,high,2,0
471,high,3,0
471,high,4,0
471,high,5,0
471,high,6,1
472,high,1,0
472,high,2,0
472,high,3,0
472,high,4,0
